CustomerID,PlanType,RenewalDate,Status
2001,Pro,12/1/2024,Active
2002,Pro,12/2/2024,Inactive
2003,Pro,12/3/2024,Inactive
2004,Premium,12/4/2024,Inactive
2005,Basic,12/5/2024,Active
2006,Premium,12/6/2024,Active
2007,Pro,12/7/2024,Inactive
2008,Basic,12/8/2024,Active
2009,Pro,12/9/2024,Active
2010,Basic,12/10/2024,Inactive
2011,Basic,12/11/2024,Inactive
2012,Pro,12/12/2024,Inactive
2013,Basic,12/13/2024,Inactive
2014,Basic,12/14/2024,Active
2015,Pro,12/15/2024,Active
2016,Basic,12/16/2024,Inactive
2017,Pro,12/17/2024,Active
2018,Premium,12/18/2024,Active
2019,Premium,12/19/2024,Active
2020,Pro,12/20/2024,Inactive
2021,Basic,12/21/2024,Inactive
2022,Premium,12/22/2024,Inactive
2023,Pro,12/23/2024,Inactive
2024,Pro,12/24/2024,Inactive
2025,Basic,12/25/2024,Active
2026,Basic,12/26/2024,Inactive
2027,Basic,12/27/2024,Inactive
2028,Pro,12/28/2024,Active
2029,Premium,12/29/2024,Inactive
2030,Pro,12/30/2024,Active
2031,Basic,12/31/2024,Active
2032,Basic,1/1/2025,Inactive
2033,Pro,1/2/2025,Active
2034,Basic,1/3/2025,Active
2035,Basic,1/4/2025,Active
2036,Pro,1/5/2025,Inactive
2037,Premium,1/6/2025,Active
2038,Basic,1/7/2025,Active
2039,Premium,1/8/2025,Active
2040,Premium,1/9/2025,Active
2041,Premium,1/10/2025,Active
2042,Premium,1/11/2025,Inactive
2043,Basic,1/12/2025,Active
2044,Basic,1/13/2025,Active
2045,Pro,1/14/2025,Inactive
2046,Basic,1/15/2025,Active
2047,Pro,1/16/2025,Active
2048,Premium,1/17/2025,Active
2049,Pro,1/18/2025,Inactive
2050,Pro,1/19/2025,Inactive
2051,Basic,1/20/2025,Inactive
2052,Pro,1/21/2025,Active
2053,Premium,1/22/2025,Active
2054,Basic,1/23/2025,Inactive
2055,Basic,1/24/2025,Inactive
2056,Basic,1/25/2025,Inactive
2057,Premium,1/26/2025,Inactive
2058,Pro,1/27/2025,Inactive
2059,Basic,1/28/2025,Active
2060,Pro,1/29/2025,Active
2061,Premium,1/30/2025,Active
2062,Premium,1/31/2025,Active
2063,Premium,2/1/2025,Active
2064,Basic,2/2/2025,Active
2065,Basic,2/3/2025,Active
2066,Pro,2/4/2025,Active
2067,Pro,2/5/2025,Active
2068,Basic,2/6/2025,Inactive
2069,Premium,2/7/2025,Active
2070,Premium,2/8/2025,Active
2071,Basic,2/9/2025,Active
2072,Pro,2/10/2025,Inactive
2073,Premium,2/11/2025,Inactive
2074,Basic,2/12/2025,Active
2075,Pro,2/13/2025,Active
2076,Pro,2/14/2025,Active
2077,Premium,2/15/2025,Active
2078,Premium,2/16/2025,Inactive
2079,Premium,2/17/2025,Inactive
2080,Premium,2/18/2025,Active
2081,Pro,2/19/2025,Inactive
2082,Basic,2/20/2025,Inactive
2083,Pro,2/21/2025,Inactive
2084,Premium,2/22/2025,Inactive
2085,Basic,2/23/2025,Active
2086,Pro,2/24/2025,Inactive
2087,Basic,2/25/2025,Inactive
2088,Pro,2/26/2025,Active
2089,Basic,2/27/2025,Active
2090,Pro,2/28/2025,Active
2091,Pro,3/1/2025,Active
2092,Premium,3/2/2025,Inactive
2093,Pro,3/3/2025,Active
2094,Premium,3/4/2025,Inactive
2095,Pro,3/5/2025,Active
2096,Basic,3/6/2025,Inactive
2097,Basic,3/7/2025,Active
2098,Premium,3/8/2025,Active
2099,Pro,3/9/2025,Inactive
2100,Premium,3/10/2025,Active
2101,Basic,3/11/2025,Active
2102,Pro,3/12/2025,Active
2103,Premium,3/13/2025,Active
2104,Basic,3/14/2025,Active
2105,Basic,3/15/2025,Active
2106,Pro,3/16/2025,Active
2107,Pro,3/17/2025,Active
2108,Pro,3/18/2025,Active
2109,Premium,3/19/2025,Active
2110,Premium,3/20/2025,Inactive
2111,Pro,3/21/2025,Inactive
2112,Pro,3/22/2025,Inactive
2113,Pro,3/23/2025,Inactive
2114,Basic,3/24/2025,Active
2115,Pro,3/25/2025,Inactive
2116,Premium,3/26/2025,Active
2117,Basic,3/27/2025,Active
2118,Pro,3/28/2025,Inactive
2119,Premium,3/29/2025,Active
2120,Basic,3/30/2025,Inactive
2121,Basic,3/31/2025,Inactive
2122,Premium,4/1/2025,Inactive
2123,Premium,4/2/2025,Inactive
2124,Basic,4/3/2025,Active
2125,Premium,4/4/2025,Inactive
2126,Basic,4/5/2025,Inactive
2127,Basic,4/6/2025,Active
2128,Basic,4/7/2025,Inactive
2129,Basic,4/8/2025,Active
2130,Pro,4/9/2025,Inactive
2131,Premium,4/10/2025,Inactive
2132,Pro,4/11/2025,Active
2133,Pro,4/12/2025,Active
2134,Pro,4/13/2025,Active
2135,Pro,4/14/2025,Inactive
2136,Basic,4/15/2025,Inactive
2137,Basic,4/16/2025,Inactive
2138,Basic,4/17/2025,Active
2139,Basic,4/18/2025,Active
2140,Pro,4/19/2025,Inactive
2141,Basic,4/20/2025,Active
2142,Pro,4/21/2025,Inactive
2143,Basic,4/22/2025,Inactive
2144,Premium,4/23/2025,Active
2145,Premium,4/24/2025,Active
2146,Premium,4/25/2025,Inactive
2147,Premium,4/26/2025,Active
2148,Basic,4/27/2025,Inactive
2149,Premium,4/28/2025,Active
2150,Premium,4/29/2025,Active
2151,Pro,4/30/2025,Active
2152,Premium,5/1/2025,Inactive
2153,Basic,5/2/2025,Inactive
2154,Pro,5/3/2025,Inactive
2155,Basic,5/4/2025,Inactive
2156,Pro,5/5/2025,Active
2157,Basic,5/6/2025,Active
2158,Premium,5/7/2025,Inactive
2159,Pro,5/8/2025,Inactive
2160,Premium,5/9/2025,Inactive
2161,Basic,5/10/2025,Active
2162,Basic,5/11/2025,Active
2163,Pro,5/12/2025,Active
2164,Basic,5/13/2025,Inactive
2165,Basic,5/14/2025,Inactive
2166,Pro,5/15/2025,Active
2167,Premium,5/16/2025,Inactive
2168,Pro,5/17/2025,Inactive
2169,Basic,5/18/2025,Active
2170,Basic,5/19/2025,Inactive
2171,Pro,5/20/2025,Active
2172,Pro,5/21/2025,Inactive
2173,Premium,5/22/2025,Inactive
2174,Basic,5/23/2025,Inactive
2175,Basic,5/24/2025,Active
2176,Premium,5/25/2025,Active
2177,Pro,5/26/2025,Inactive
2178,Pro,5/27/2025,Inactive
2179,Premium,5/28/2025,Active
2180,Pro,5/29/2025,Inactive
2181,Premium,5/30/2025,Inactive
2182,Pro,5/31/2025,Active
2183,Pro,6/1/2025,Inactive
2184,Pro,6/2/2025,Inactive
2185,Premium,6/3/2025,Inactive
2186,Premium,6/4/2025,Inactive
2187,Premium,6/5/2025,Active
2188,Basic,6/6/2025,Active
2189,Basic,6/7/2025,Active
2190,Premium,6/8/2025,Inactive
2191,Basic,6/9/2025,Active
2192,Basic,6/10/2025,Inactive
2193,Pro,6/11/2025,Inactive
2194,Pro,6/12/2025,Inactive
2195,Pro,6/13/2025,Active
2196,Basic,6/14/2025,Inactive
2197,Basic,6/15/2025,Inactive
2198,Premium,6/16/2025,Inactive
2199,Basic,6/17/2025,Active
2200,Basic,6/18/2025,Inactive
2201,Premium,6/19/2025,Active
2202,Premium,6/20/2025,Active
2203,Premium,6/21/2025,Inactive
2204,Pro,6/22/2025,Inactive
2205,Premium,6/23/2025,Active
2206,Pro,6/24/2025,Active
2207,Basic,6/25/2025,Active
2208,Basic,6/26/2025,Active
2209,Pro,6/27/2025,Inactive
2210,Pro,6/28/2025,Inactive
2211,Pro,6/29/2025,Active
2212,Basic,6/30/2025,Active
2213,Basic,7/1/2025,Active
2214,Premium,7/2/2025,Inactive
2215,Premium,7/3/2025,Active
2216,Basic,7/4/2025,Active
2217,Premium,7/5/2025,Active
2218,Premium,7/6/2025,Active
2219,Pro,7/7/2025,Active
2220,Basic,7/8/2025,Active
2221,Pro,7/9/2025,Active
2222,Basic,7/10/2025,Active
2223,Basic,7/11/2025,Inactive
2224,Pro,7/12/2025,Inactive
2225,Basic,7/13/2025,Inactive
2226,Pro,7/14/2025,Active
2227,Pro,7/15/2025,Inactive
2228,Basic,7/16/2025,Active
2229,Basic,7/17/2025,Inactive
2230,Pro,7/18/2025,Active
2231,Premium,7/19/2025,Inactive
2232,Premium,7/20/2025,Inactive
2233,Basic,7/21/2025,Active
2234,Basic,7/22/2025,Inactive
2235,Premium,7/23/2025,Inactive
2236,Basic,7/24/2025,Inactive
2237,Basic,7/25/2025,Inactive
2238,Premium,7/26/2025,Active
2239,Basic,7/27/2025,Active
2240,Premium,7/28/2025,Active
2241,Premium,7/29/2025,Active
2242,Premium,7/30/2025,Active
2243,Basic,7/31/2025,Inactive
2244,Pro,8/1/2025,Active
2245,Pro,8/2/2025,Active
2246,Pro,8/3/2025,Active
2247,Basic,8/4/2025,Active
2248,Basic,8/5/2025,Active
2249,Basic,8/6/2025,Active
2250,Basic,8/7/2025,Inactive
2251,Pro,8/8/2025,Inactive
2252,Premium,8/9/2025,Active
2253,Basic,8/10/2025,Active
2254,Basic,8/11/2025,Active
2255,Basic,8/12/2025,Inactive
2256,Premium,8/13/2025,Active
2257,Pro,8/14/2025,Inactive
2258,Basic,8/15/2025,Inactive
2259,Pro,8/16/2025,Active
2260,Basic,8/17/2025,Inactive
2261,Pro,8/18/2025,Inactive
2262,Basic,8/19/2025,Active
2263,Pro,8/20/2025,Inactive
2264,Basic,8/21/2025,Inactive
2265,Basic,8/22/2025,Active
2266,Pro,8/23/2025,Active
2267,Pro,8/24/2025,Inactive
2268,Premium,8/25/2025,Active
2269,Premium,8/26/2025,Active
2270,Premium,8/27/2025,Active
2271,Premium,8/28/2025,Active
2272,Pro,8/29/2025,Inactive
2273,Premium,8/30/2025,Active
2274,Basic,8/31/2025,Active
2275,Pro,9/1/2025,Active
2276,Basic,9/2/2025,Active
2277,Premium,9/3/2025,Inactive
2278,Premium,9/4/2025,Inactive
2279,Premium,9/5/2025,Inactive
2280,Pro,9/6/2025,Inactive
2281,Basic,9/7/2025,Inactive
2282,Basic,9/8/2025,Active
2283,Pro,9/9/2025,Inactive
2284,Premium,9/10/2025,Active
2285,Premium,9/11/2025,Inactive
2286,Pro,9/12/2025,Active
2287,Basic,9/13/2025,Inactive
2288,Basic,9/14/2025,Active
2289,Basic,9/15/2025,Inactive
2290,Basic,9/16/2025,Active
2291,Premium,9/17/2025,Inactive
2292,Premium,9/18/2025,Active
2293,Pro,9/19/2025,Inactive
2294,Pro,9/20/2025,Active
2295,Pro,9/21/2025,Active
2296,Premium,9/22/2025,Inactive
2297,Premium,9/23/2025,Active
2298,Premium,9/24/2025,Inactive
2299,Pro,9/25/2025,Active
2300,Premium,9/26/2025,Active
2301,Basic,9/27/2025,Inactive
2302,Premium,9/28/2025,Active
2303,Basic,9/29/2025,Active
2304,Basic,9/30/2025,Active
2305,Basic,10/1/2025,Inactive
2306,Premium,10/2/2025,Inactive
2307,Pro,10/3/2025,Active
2308,Basic,10/4/2025,Inactive
2309,Basic,10/5/2025,Inactive
2310,Premium,10/6/2025,Inactive
2311,Premium,10/7/2025,Active
2312,Basic,10/8/2025,Inactive
2313,Pro,10/9/2025,Active
2314,Premium,10/10/2025,Inactive
2315,Basic,10/11/2025,Active
2316,Pro,10/12/2025,Active
2317,Premium,10/13/2025,Active
2318,Pro,10/14/2025,Active
2319,Basic,10/15/2025,Inactive
2320,Pro,10/16/2025,Inactive
2321,Basic,10/17/2025,Inactive
2322,Premium,10/18/2025,Inactive
2323,Basic,10/19/2025,Inactive
2324,Basic,10/20/2025,Active
2325,Premium,10/21/2025,Active
2326,Basic,10/22/2025,Inactive
2327,Pro,10/23/2025,Inactive
2328,Premium,10/24/2025,Inactive
2329,Pro,10/25/2025,Active
2330,Premium,10/26/2025,Active
2331,Basic,10/27/2025,Active
2332,Pro,10/28/2025,Inactive
2333,Premium,10/29/2025,Active
2334,Pro,10/30/2025,Inactive
2335,Premium,10/31/2025,Inactive
2336,Premium,11/1/2025,Active
2337,Pro,11/2/2025,Inactive
2338,Pro,11/3/2025,Inactive
2339,Pro,11/4/2025,Active
2340,Pro,11/5/2025,Active
2341,Premium,11/6/2025,Inactive
2342,Pro,11/7/2025,Inactive
2343,Pro,11/8/2025,Inactive
2344,Pro,11/9/2025,Inactive
2345,Pro,11/10/2025,Inactive
2346,Pro,11/11/2025,Inactive
2347,Pro,11/12/2025,Inactive
2348,Basic,11/13/2025,Inactive
2349,Basic,11/14/2025,Inactive
2350,Premium,11/15/2025,Active
2351,Pro,11/16/2025,Inactive
2352,Pro,11/17/2025,Active
2353,Premium,11/18/2025,Inactive
2354,Pro,11/19/2025,Active
2355,Pro,11/20/2025,Active
2356,Pro,11/21/2025,Inactive
2357,Basic,11/22/2025,Active
2358,Pro,11/23/2025,Active
2359,Basic,11/24/2025,Active
2360,Pro,11/25/2025,Active
2361,Pro,11/26/2025,Inactive
2362,Premium,11/27/2025,Active
2363,Premium,11/28/2025,Inactive
2364,Pro,11/29/2025,Active
2365,Pro,11/30/2025,Active
2366,Pro,12/1/2025,Inactive
2367,Basic,12/2/2025,Active
2368,Pro,12/3/2025,Inactive
2369,Premium,12/4/2025,Inactive
2370,Basic,12/5/2025,Inactive
2371,Pro,12/6/2025,Active
2372,Basic,12/7/2025,Active
2373,Basic,12/8/2025,Inactive
2374,Basic,12/9/2025,Inactive
2375,Basic,12/10/2025,Active
2376,Pro,12/11/2025,Active
2377,Premium,12/12/2025,Inactive
2378,Basic,12/13/2025,Active
2379,Premium,12/14/2025,Inactive
2380,Basic,12/15/2025,Active
2381,Premium,12/16/2025,Inactive
2382,Basic,12/17/2025,Active
2383,Basic,12/18/2025,Active
2384,Pro,12/19/2025,Active
2385,Pro,12/20/2025,Active
2386,Basic,12/21/2025,Inactive
2387,Premium,12/22/2025,Active
2388,Pro,12/23/2025,Inactive
2389,Pro,12/24/2025,Inactive
2390,Pro,12/25/2025,Inactive
2391,Pro,12/26/2025,Active
2392,Basic,12/27/2025,Inactive
2393,Premium,12/28/2025,Inactive
2394,Pro,12/29/2025,Inactive
2395,Pro,12/30/2025,Inactive
2396,Premium,12/31/2025,Inactive
2397,Pro,1/1/2026,Active
2398,Premium,1/2/2026,Active
2399,Basic,1/3/2026,Active
2400,Pro,1/4/2026,Active
2401,Premium,1/5/2026,Active
2402,Pro,1/6/2026,Active
2403,Basic,1/7/2026,Inactive
2404,Premium,1/8/2026,Inactive
2405,Premium,1/9/2026,Inactive
2406,Premium,1/10/2026,Active
2407,Pro,1/11/2026,Inactive
2408,Premium,1/12/2026,Inactive
2409,Premium,1/13/2026,Active
2410,Premium,1/14/2026,Active
2411,Basic,1/15/2026,Active
2412,Premium,1/16/2026,Active
2413,Premium,1/17/2026,Active
2414,Premium,1/18/2026,Inactive
2415,Basic,1/19/2026,Inactive
2416,Premium,1/20/2026,Active
2417,Pro,1/21/2026,Active
2418,Premium,1/22/2026,Active
2419,Pro,1/23/2026,Active
2420,Basic,1/24/2026,Active
2421,Basic,1/25/2026,Inactive
2422,Premium,1/26/2026,Inactive
2423,Premium,1/27/2026,Active
2424,Basic,1/28/2026,Active
2425,Basic,1/29/2026,Active
2426,Basic,1/30/2026,Active
2427,Pro,1/31/2026,Inactive
2428,Pro,2/1/2026,Active
2429,Premium,2/2/2026,Active
2430,Pro,2/3/2026,Active
2431,Basic,2/4/2026,Inactive
2432,Premium,2/5/2026,Inactive
2433,Pro,2/6/2026,Active
2434,Premium,2/7/2026,Active
2435,Pro,2/8/2026,Inactive
2436,Premium,2/9/2026,Active
2437,Basic,2/10/2026,Inactive
2438,Basic,2/11/2026,Active
2439,Basic,2/12/2026,Inactive
2440,Pro,2/13/2026,Inactive
2441,Premium,2/14/2026,Active
2442,Premium,2/15/2026,Active
2443,Premium,2/16/2026,Inactive
2444,Pro,2/17/2026,Active
2445,Basic,2/18/2026,Active
2446,Basic,2/19/2026,Active
2447,Premium,2/20/2026,Active
2448,Premium,2/21/2026,Inactive
2449,Pro,2/22/2026,Inactive
2450,Premium,2/23/2026,Inactive
2451,Premium,2/24/2026,Active
2452,Pro,2/25/2026,Active
2453,Premium,2/26/2026,Active
2454,Basic,2/27/2026,Active
2455,Pro,2/28/2026,Inactive
2456,Basic,3/1/2026,Active
2457,Premium,3/2/2026,Inactive
2458,Premium,3/3/2026,Active
2459,Pro,3/4/2026,Inactive
2460,Pro,3/5/2026,Active
2461,Pro,3/6/2026,Inactive
2462,Pro,3/7/2026,Active
2463,Premium,3/8/2026,Inactive
2464,Premium,3/9/2026,Active
2465,Basic,3/10/2026,Active
2466,Basic,3/11/2026,Active
2467,Pro,3/12/2026,Active
2468,Premium,3/13/2026,Inactive
2469,Pro,3/14/2026,Inactive
2470,Pro,3/15/2026,Inactive
2471,Pro,3/16/2026,Active
2472,Pro,3/17/2026,Active
2473,Pro,3/18/2026,Active
2474,Premium,3/19/2026,Active
2475,Basic,3/20/2026,Inactive
2476,Pro,3/21/2026,Inactive
2477,Premium,3/22/2026,Inactive
2478,Pro,3/23/2026,Inactive
2479,Premium,3/24/2026,Inactive
2480,Basic,3/25/2026,Active
2481,Basic,3/26/2026,Inactive
2482,Premium,3/27/2026,Inactive
2483,Pro,3/28/2026,Inactive
2484,Basic,3/29/2026,Inactive
2485,Pro,3/30/2026,Active
2486,Pro,3/31/2026,Active
2487,Premium,4/1/2026,Active
2488,Pro,4/2/2026,Inactive
2489,Premium,4/3/2026,Inactive
2490,Premium,4/4/2026,Inactive
2491,Premium,4/5/2026,Active
2492,Basic,4/6/2026,Active
2493,Pro,4/7/2026,Active
2494,Premium,4/8/2026,Inactive
2495,Premium,4/9/2026,Active
2496,Pro,4/10/2026,Active
2497,Basic,4/11/2026,Active
2498,Premium,4/12/2026,Inactive
2499,Premium,4/13/2026,Inactive
